id,number,issue,filing,title,us,ipc,inv_location,link,inventors,assignee,asignee_location,tech areas,references
US20100313499A1,0100313499,20101216,20090610,Roof mounting bracket for photovoltaic power generation system,"","E04D13/18, E04B1/38, F28D15/00", Grass Valley CA US ,N/A,Gangemi Ronald J.,"","",Solar Mounting/Rack,""
US20100236612A1,0100236612,20100923,20100219,Inverter for a Distributed Power Generator,"","H01L31/00, H02J1/02, H02M1/12", Kingston CA  Kingston CA  Kingston CA ,N/A,"Khajehoddin Sayed Ali, Jain Praveen, Bakhshai Alireza","","",Solar Inverter,""
US20130038124A1,0130038124,20130214,20120913,"POLE-MOUNTED POWER GENERATION SYSTEMS, STRUCTURES AND PROCESSES","","H02J3/00, H01L31/042", Woodside CA US  Menlo Park CA US ,N/A,"NEWDOLL Ronald M., SHAVER, II Argil E.","","",Solar Mounting/Rack,""
US20110072631A1,0110072631,20110331,20101202,METHOD OF INSTALLING A PHOTOVOLTAIC STRUCTURE AND METHODS OF MANUFACTURING A PHOTOVOLTAIC STRUCTURE MOUNTING SYSTEM HAVING A SLIDER CLIP,"","B23P11/00, E04C3/00, H01L31/18", Brick NJ US  Stanhope NJ US  South Plainfield NJ US  Stamford CT US ,N/A,"Hartelius John, Monaco Michael, Kazimir Kyle, Bellacicco John Anthony","","",Solar Mounting/Rack,""
US20130119211A1,0130119211,20130516,20121009,PHOTOVOLTAIC MODULE MOUNTING SYSTEM,"",F24J2/52, Nederland CO US  Boulder CO US ,N/A,"Franklin Scott, Klinga Christopher Stephen","","",Solar Mounting/Rack,""
US20110203640A1,0110203640,20110825,20091203,SOLAR TRACKING DEVICE FOR PANELS,"",H01L31/052, Luxembourg LU  Luxembourg LU  Luxembourg LU ,N/A,"Domingo Cabo Alberto, Lázaro Fernández Carlos, Palacios Climent Francisco José","","",Solar Mounting/Rack,""
US20130012061A1,0130012061,20130110,20120914,PHOTOVOLTAIC AC INVERTER MOUNT AND INTERCONNECT,"",H01R13/60, Cascade CO US  Boulder CO US ,N/A,"Rotzoll Robert R., Kapur Rajan N.","","",Solar Inverter,""
US20090283136A1,0090283136,20091119,20061130,Panel Form Photovoltaic Frameless Solar Module,"",H01L31/048, Coswig DE  Dresden DE ,N/A,"Münch Markus, Janker Michael","","",Solar Mounting/Rack,""
US20120273032A1,0120273032,20121101,20120713,SYSTEM AND METHOD FOR MOUNTING PHOTOVOLTAIC PANELS,"",H01L31/048, Nederland CO US ,N/A,Franklin Scott,"","",Solar Mounting/Rack,""
US20100205877A1,0100205877,20100819,20090213,Mounting system for securing  a photovoltaic device and method for its use,"","E04D13/18, B23P11/00, E04B1/38, E04C2/20", West Bloomfield MI US  Royal Oak MI US  Bloomfield Hills MI US ,N/A,"Varde Uday, Call Jonathan, Guha Subhendu","","",Solar Mounting/Rack,""
US20130077367A1,0130077367,20130328,20110923,SYSTEMS AND METHODS FOR USE IN GRID FAULT EVENT CONTROL,"","H02M7/537, G05F1/70", Westford MA US  Daleville VA US  Wirtz VA US  Shanghai CN  Shanghai CN ,N/A,"Zhu Huibin, Smith David, Galbraith Anthony William, Gong Maozhong, Wu Xueqin","","",Solar Inverter,""
US20100296276A1,0100296276,20101125,20090215,ENERGY SUPPLY DEVICE WITH ENERGY PANELS IN THE FORM OF ROOF TILES,"","F21L4/02, E04D13/18, F24J2/04", Rumisberg CH ,N/A,Bieri Martin,"","",Solar Mounting/Rack,""
US20080123226A1,0080123226,20080529,20071126,Ground Fault Detector Interrupter,"",H02H3/08, Puslinch CA  Burlington CA  Oakville CA ,N/A,"McGinn Patrick, Kazemi Hossein, Zubieta Luis","","",Solar Inverter,""
US20120069602A1,0120069602,20120322,20110914,METHOD AND ARRANGEMENT FOR TRACKING THE MAXIMUM POWER POINT OF A PHOTOVOLTAIC MODULE,"",H02M7/42, Dattwil-Baden AG CH  Espoo FI  Espoo FI ,N/A,"Escobar Gerardo, Pulli Tuomas, Karppanen Matti","","",Solar Inverter,""
US20120318322A1,0120318322,20121220,20100611,SOLAR PANEL MOUNTING SYSTEM,"","H01L31/042, B23P11/00", Elwood AU  Park Orchards AU  Brunswick East AU  Wyndham Vale AU ,N/A,"Lanyon Samuel Ross Garland, Elliott Stuart, Vom Eduardo, Allman Richard","","",Solar Mounting/Rack,""
US20120255591A1,0120255591,20121011,20091104,Enhanced Systems and Methods for Using a Power Converter for Balancing Modules in Single-String and Multi-String Configurations,"","H01L31/042, G06F19/00", Los Gatos CA US  Campbell CA US ,N/A,"Arditi Shmuel, Makhota Maxym","","",Solar Monitoring,""
US20110199792A1,0110199792,20110818,20110324,Converter Comprising at least one Normally on Semiconductor Switch,"",H02M3/335, Vellmar DE  Marsberg DE ,N/A,"Friebe Jens, Prior Oliver","","",Solar Inverter,""
US20120299380A1,0120299380,20121129,20120523,Controlling The Direct Current Flow In A Photovoltaic System,"","G05F3/08, H02J1/00", Bonn DE ,N/A,Haupt Stefan,"","",Solar Inverter,""
US20100206378A1,0100206378,20100819,20090213,Thin-film photovoltaic power system with integrated low-profile high-efficiency inverter,"","H01L31/04, H02M7/00, H02M1/14", Boulder CO US  Menlo Park CA US  Fremont CA US  San Jose CA US ,N/A,"Erickson, JR. Robert W., Croft Steven, Everson Shawn, Schultz Aaron","","",Solar Inverter,""
US20110088743A1,0110088743,20110421,20101014,METHOD TO MANAGE A PHOTOVOLTAIC SYSTEM,"",H01L31/042, San Jose CA US  Cupertino CA US ,N/A,"Luo Yuhao, Ling Zhi-min","","",Solar Monitoring,""
US20110067691A1,0110067691,20110324,20101201,MOUNTING SYSTEM SUPPORTING SLIDABLE INSTALLATION OF A PLURALITY OF SOLAR PANELS AS A UNIT,"","F24J2/52, B23P19/04", Stamford CT US  Brick NJ US  Morris Plains NJ US  Clinton NJ US  Stanhope NJ US  Fountain Hills AZ US ,N/A,"Bellacicco John, Hartelius John, Cabuhay Henry, Kuster Tom, Monaco Michael, Perkins Martin","","",Solar Mounting/Rack,""
US20110301772A1,0110301772,20111208,20100607,"PROTECTION, MONITORING OR INDICATION APPARATUS FOR A DIRECT CURRENT ELECTRICAL GENERATING APPARATUS OR A PLURALITY OF STRINGS","",G06F1/28, Brookfield WI US  Milwaukee WI US  Sussex WI US   Milwaukee WI US  Sussex WI US  Germantown WI US ,N/A,"ZUERCHER JOSEPH C., PAHL BIRGER, LUEBKE CHARLES J., PIER BRIAN THOMAS, HASTINGS JEROME K., BHAVARAJU VIJAY","","",Solar Monitoring,""
US20120049855A1,0120049855,20120301,20100824,Dark IV monitoring system for photovoltaic installations,"",G01R31/02, Los Gatos CA US ,N/A,Crites David E.,"","",Solar Monitoring,""
US20120084027A1,0120084027,20120405,20111005,SYSTEM AND METHOD FOR MONITORING PERFORMANCE OF A PHOTOVOLTAIC ARRAY,"","G06F19/00, G01R31/26", Boulder CO US ,N/A,Caine Holden R.,"","",Solar Monitoring,""
US20110019349A1,0110019349,20110127,20090311,Junction Box for Solar Modules and Method for the Mounting thereof on said Modules,"",H05K5/00, Leutkirch DE ,N/A,Pfeffer Roland,"","",Solar Mounting/Rack,""
US20080190047A1,0080190047,20080814,20070720,Solar Panel Roof Kit,"",E04D13/18, Rochester MI US ,N/A,Allen Gary E.,"","",Solar Mounting/Rack,""
US20130076134A1,0130076134,20130328,20110928,Power Converter Islanding Detection,"","H02J1/10, H02M7/44", Daleville VA US  Shanghai CN ,N/A,"Smith David, Gong Maozhong","","",Solar Inverter,""
US20100061593A1,0100061593,20100311,20080905,Extrapolation system for solar access determination,"",G06K9/64, Bolinas CA US  Windsor CA US ,N/A,"MacDonald Willard S., Galli Mark B.","","",Solar Site Assessment,""
US20080097655A1,0080097655,20080424,20071019,Method and system to provide a distributed local energy production system with high-voltage DC bus,"",G06F19/00, Cupertino CA US  San Jose CA US ,N/A,"Hadar Ron, Davis Stuart","","",Solar Monitoring,""
US20120262948A1,0120262948,20121018,20120322,PHOTOVOLTAIC MODULE,"",H02M3/335, Seoul KR  Seoul KR ,N/A,"Lee Kiok, Kim Myonghwan","","",Solar Inverter,""
US20100302731A1,0100302731,20101202,20100311,Inverter Cooler,"",H05K7/20, Mendham NJ US  Clinton NJ US  Narragansett RI US ,N/A,"Belikoff Michael A., Kuster Thomas, Thompson Christopher","","",Solar Inverter,""
US20130037075A1,0130037075,20130214,20101217,MOUNTING INTERFACE FOR A PHOTOVOLTAIC MODULE,"",H01L31/042, Pfaffikon CH  Seewis CH  Kressbronn DE ,N/A,"Sinicco Ivan, Huegli Andreas, Dillmann Jurgen Josef","","",Solar Mounting/Rack,""
US20110032734A1,0110032734,20110210,20090428,CASCADED SWITCHING POWER CONVERTER FOR COUPLING A PHOTOVOLTAIC ENERGY SOURCE TO POWER MAINS,"",H02M5/45, Austin TX US ,N/A,Melanson John L.,"","",Solar Inverter,""
US20110265860A1,0110265860,20111103,20100503,METHODS AND APPARATUSES TO SUPPORT PHOTOVOLTAIC MODULES,"","H01L31/048, H01B5/00, H05K13/00, F16M13/02", San Francisco CA US  Berkeley CA US ,N/A,"Ciasulli John, Jones Jason","","",Solar Mounting/Rack,""
US20090050194A1,0090050194,20090226,20070821,SUPPORT SYSTEM FOR A PHOTOVOLTAIC SYSTEM,"",H01L31/048, Encinitas CA US  La Jolla CA US  Ramona CA US ,N/A,"Noble Robert L., Zeller Nicol M., Adelson William S.","","",Solar Mounting/Rack,""
US20130016550A1,0130016550,20130117,20120518,INVERTER,"",H02M7/5387, Taoyuan Hsien TW  Taoyuan Hsien TW  Taoyuan Hsien TW ,N/A,"Ku Chen-Wei, Lee Lei-Ming, Huang Ho","","",Solar Inverter,""
US20120042588A1,0120042588,20120223,20100510,INTEGRATED PHOTOVOLTAIC MODULE,"","E04D13/18, H02J1/00, H02M3/335", Boulder CO US ,N/A,"Erickson, JR. Robert Warren","","",Solar Inverter,""
US20090303763A1,0090303763,20091210,20070124,PHOTOVOLTAIC INVERTER,"",H02M7/44, Osaka JP  Osaka JP  Osaka JP ,N/A,"Yuguchi Takashi, Makitani Atsushi, Yamamoto Hajime","","",Solar Inverter,""
US20110203633A1,0110203633,20110825,20100831,ARCUATE-WINGED SOLAR CANOPY ASSEMBLY,"","H01L31/042, H01L31/18", Providence RI US ,N/A,Richardson Donald S.,"","",Solar Mounting/Rack,""
US20120201601A1,0120201601,20120809,20120209,SANDWICH WEDGE CLAMP FOR FASTENING A SOLAR PANEL,"","F16B2/14, B23P11/00", Williamsville NY US ,N/A,Rizzo Nathan,"","",Solar Mounting/Rack,""
US20110100433A1,0110100433,20110505,20091104,SYSTEM AND METHOD FOR GROUNDING PHOTOVOLTAIC MODULES,"","H01L31/048, H01M6/00", Newark DE US ,N/A,JONCZYK Ralf,"","",Solar Mounting/Rack,""
US20110276192A1,0110276192,20111110,20110509,SYSTEMS AND METHODS FOR ISLANDING DETECTION,"","G06F1/30, H02J3/38", Brookings SD US ,N/A,Ropp Michael,"","",Solar Inverter,""
US20130062942A1,0130062942,20130314,20120917,SOLAR INVERTER FOR AN EXTENDED INSOLATION RANGE AND OPERATING METHOD,"",H02J1/00, Dettingen DE ,N/A,Hantschel Jochen,"","",Solar Inverter,""
US20090114271A1,0090114271,20090507,20080902,Slidable Mounting System for Solar Modules,"",H01L31/048, Los Altos CA US ,N/A,Stancel Robert,"","",Solar Mounting/Rack,""
US20130033112A1,0130033112,20130207,20110804,SYSTEM AND METHOD FOR INCREASING VOLTAGE IN A PHOTOVOLTAIC INVERTER,"",H02J1/00, Kingston RI US ,N/A,Thompson Christopher Scott,"","",Solar Inverter,""
US20070193618A1,0070193618,20070823,20060919,Integrated Solar Roofing System,"","H01L31/042, H02N6/00", 816 S. 10th Street Philadelphia PA 19147 US  1540 S. 12th Street Philadelphia PA 19147 US  4848 Ogle Street Philadelphia PA 19127 US  1706 Kriebel Mill Road Collegeville PA 19426 US  7510 Lawn Street Philadelphia PA 19128 US ,N/A,"Bressler Peter, Feinstein Abby, Galewyrick Seth, Low Martin, Rossi Paul","","",Solar Mounting/Rack,""
US20090229200A1,0090229200,20090917,20080311,Photovoltaic System and Method,"","E04H14/00, E04B1/343, E02D27/42, F16M11/00", Encinitas CA US  La Jolla CA US  Ramona CA US  Temecula CA US  San Diego CA US ,N/A,"Noble Robert, Zeller Nicol M., Adelson William S., Colby Mark Duane, Labrum Jeffrey Ryan","","",Solar Mounting/Rack,""
US20100258157A1,0100258157,20101014,20100302,WATERTIGHT CONNECTOR AND PHOTOVOLTAIC POWER GENERATING APPARATUS,"","H01L31/042, H01R13/52", Toyama JP ,N/A,Arai Atsushi,"","",Solar Mounting/Rack,""
US20120085395A1,0120085395,20120412,20100512,SOLAR MODULE ATTACHMENT DEVICE AND MOUNTING METHOD,"","H01L31/048, H01L31/18", Aachen DE  Aachen DE ,N/A,"Kuster Hans-Werner, Kuster Felix","","",Solar Mounting/Rack,""
US20100059641A1,0100059641,20100311,20090910,Mounting Systems for Photovoltaic Modules,"","A47B96/06, F16B47/00", New Hope PA US  Flemington NJ US  Princeton NJ US ,N/A,"Twesme Edward N., Staiano Salvatore G., Yu Ding","","",Solar Mounting/Rack,""
US20130036683A1,0130036683,20130214,20110203,Panel Mounting System,"","E04D13/18, E04H14/00, E04B1/38", Devizes GB  Devizes GB  Devizes GB ,N/A,"Seymour Jonathan, Sainsbury James, Bissett Timothy","","",Solar Mounting/Rack,""
US20100101634A1,0100101634,20100429,20090910,THIN PROFILE SOLAR PANEL ROOF TILE,"","H01L31/048, H05K13/00", Rough and Ready CA US  El Cajon CA US  La Jolla CA US  Temewia CA US  Cardiff CA US  Carlsbad CA US ,N/A,"FRANK CHRISTOPHER, Montello John, Gopal Christopher S., Curtis Mike, Janaswamy Anand, Farrelly Mark","","",Solar Mounting/Rack,""
US20110192098A1,0110192098,20110811,20100208,Solar Panel mounting system and installation,"","E04D13/18, E04B1/38", Sarasota FL US ,N/A,Chung Wen Y.,"","",Solar Mounting/Rack,""
US20120291841A1,0120291841,20121122,20120514,PHOTOVOLTAIC MODULE,"",H01L31/042, Seoul KR  Seoul KR ,N/A,"Jang Daehee, Kim Jonghwan","","","Solar Inverter, Solar Monitoring",""
US20130121029A1,0130121029,20130516,20121108,Connecting an Inverter in a Solar Power Plant with Shifted Potential Center Point,"","H02J3/08, H02M7/42", Niestetal DE ,N/A,SMA Solar Technology AG ,"","",Solar Inverter,""
US20110115300A1,0110115300,20110519,20101029,CONVERTING DEVICE WITH MULTIPLE INPUT TERMINALS AND TWO OUTPUT TERMINALS AND PHOTOVOLTAIC SYSTEM EMPLOYING THE SAME,"",H02M7/42, Taipei City TW  Yonghe City TW ,N/A,"CHIANG Huo-Hsien, WANG Chiou Fu","","",Solar Inverter,""
US20090242014A1,0090242014,20091001,20080327,Solar Module Integration System,"","H01L31/048, B23P11/00, E04D13/18", North Andover MA US ,N/A,Leary Daniel Patrick,"","",Solar Mounting/Rack,""
US20100077592A1,0100077592,20100401,20090929,SYSTEM AND METHOD FOR HANGING SOLAR PANELS FROM A HORIZONTAL SUPPORT,"",B23P11/00, Jackson MS US ,N/A,CASANO PETER,"","",Solar Mounting/Rack,""
US20120080076A1,0120080076,20120405,20100930,PHOTOVOLTAIC MODULE SUPPORT WITH CABLE CLAMPS,"","H01L31/042, H01L31/18", Santa Clara CA US  San Jose CA US ,N/A,"Hardikar Kedar, Balyon Roger","","",Solar Mounting/Rack,""
US20120174967A1,0120174967,20120712,20120110,PHOTOVOLTAIC MODULES AND MOUNTING SYSTEMS,"","H01L31/048, H01L31/02, H01L31/0203", Saratoga CA US  San Jose CA US  Midland CA US ,N/A,"Pearce David B., Hollars Dennis R., Cleereman Robert J.","","",Solar Mounting/Rack,""
US20120104863A1,0120104863,20120503,20111031,System and Method for Combining Electrical Power from Photovoltaic Sources,"",H02J3/00, Ottawa CA ,N/A,Yuan Defang,"","",Solar Inverter,""
US20120057388A1,0120057388,20120308,20110923,Solar Photovoltaic Inverters,"","H02M1/32, H05K3/30", Rockwall TX US ,N/A,Garrity Paul,"","",Solar Inverter,""
US20110242867A1,0110242867,20111006,20110330,Power Inverters and Related Methods,"",H02M7/537, Okemos MI US  Tempe AZ US ,N/A,"Wang Bingsen, Bush Craig R.","","",Solar Inverter,""
US20130076151A1,0130076151,20130328,20111021,PHOTOVOLTAIC GENERATION SYSTEM USING PARALLEL INVERTER CONNECTED GRID,"",H02M7/5387, Seoul KR  Seoul KR  Gyeonggi-do KR ,N/A,"BAE Young Sang, Oh Seong Jin, Kim Kyoung Hwan","","",Solar Inverter,""
US20100194202A1,0100194202,20100805,20090131,System and method for integrated solar power generator with micro inverters,"","H05K13/04, H01L31/042, H02J1/06", San Diego CA US ,N/A,Sun David,"","",Solar Inverter,""
US20120053739A1,0120053739,20120301,20100928,HOME ENERGY MANAGER SYSTEM,"","G06F1/26, G06F3/048", Louisville KY US  Louisville KY US  Louisville KY US  Charlestown IN US  Lousville KY US ,N/A,"Brian Joseph Mark, Broniak Jay Andrew, Venkatakrishnan Natarajan, Guernsey Byron K., Bingham David C.","","",Solar Monitoring,""
US20130107594A1,0130107594,20130502,20111026,METHODS AND SYSTEMS FOR OPERATING A POWER CONVERSION SYSTEM,"",H02M7/537, Roanoke VA US  Daleville VA US  Wirtz VA US ,N/A,"Wagoner Robert Gregory, Smith David, Galbraith Anthony William","","",Solar Inverter,""
US20110168235A1,0110168235,20110714,20090903,APPARATUS AND METHOD FOR GENERATING ELECTRICITY USING PHOTOVOLTAIC PANELS,"",H01L31/052, Cascina IT  Cascina IT  Cascina IT ,N/A,"Rosa Clot Marco, Rosa Clot Paolo, Carrara Sandro","","",Solar Mounting/Rack,""
US20070074755A1,0070074755,20070405,20051003,Photovoltaic module with rigidizing backplane,"",H02N6/00, Palo Alto CA US  Mountain View CA US  Oslo NO ,N/A,"Eberspacher Chris, Capps Phillip, Holager John","","",Solar Mounting/Rack,""
US20090260316A1,0090260316,20091022,20080203,METHOD OF CONSTRUCTION FOR SOLAR ENERGY SYSTEMS,"","F24J2/42, E04B1/38", Berkeley CA US  Albany CA US ,N/A,"Jones Jason Charles, Kraft Steven Michael","","",Solar Mounting/Rack,""
US20120060919A1,0120060919,20120315,20081030,JUNCTION BOX FOR A PHOTOVOLTAIC SOLAR PANEL,"","H01L31/0203, H01B5/00, H05K5/00, H01R43/20, H01R43/00", Santa Rosa CA US  Morgan Hill CA US  San Francisco CA US  Sunnyvale CA US  Santa Rosa CA US  Windsor CA US  Castro Valley CA US  Ukiah CA US ,N/A,"Mills Brian Wade, Street Robert D., Lu Danny Cam Toan, Elgar Yacov, Weatherley Ian Worthington, Carver Dustin Delmar Reede, Sullivan Jeffrey S., Pratt Ian McKay","","",Solar Mounting/Rack,""
US20130057196A1,0130057196,20130307,20120213,PHOTOVOLTAIC POWERED SYSTEM WITH ADAPTIVE POWER CONTROL AND METHOD OF OPERATING THE SAME,"",H01M10/46, Taoyuan County TW  Taoyuan County TW  Taoyuan County TW ,N/A,"KU Chen-Wei, LEE Lei-Ming, HUANG Ho","","",Solar Inverter,""
US20110031814A1,0110031814,20110210,20090211,"PV Sub-Generator Junction Box, PV Generator Junction Box, and PV Inverter for a PV System, and PV System","",H02J4/00, Munchen DE ,N/A,Giesler Bodo,"","",Solar Inverter,""
US20110121143A1,0110121143,20110526,20100812,TRACKING SYSTEM,"","F16M11/10, F16M11/02", Gutersloh DE ,N/A,IMKAMP Gerd,"","",Solar Mounting/Rack,""
US20080123373A1,0080123373,20080529,20061129,CURRENT FED POWER CONVERTER SYSTEM INCLUDING NORMALLY-ON SWITCH,"",H02M7/521, Muenchen DE  Freising DE  Nussloch DE  Schenectady NY US ,N/A,"Roesner Robert, El-Barbari Said Farouk Said, Krokoszinski Hans-Joachim, de Rooij Michael Andrew","","",Solar Inverter,""
US20130088086A1,0130088086,20130411,20121005,CIRCUITRY ARRANGEMENT FOR A SOLAR POWER PLANT COMPRISING A DC VOLTAGE SOURCE FOR AN OFFSET VOLTAGE,"",H02J4/00, Niestetal DE ,N/A,SMA Solar Technology AG ,"","",Solar Inverter,""
US20120223734A1,0120223734,20120906,20120305,MEASUREMENT OF INSULATION RESISTANCE OF CONFIGURABLE PHOTOVOLTAIC PANELS IN A PHOTOVOLTAIC ARRAY,"",G01R31/26, Fremont CA US  Hayward CA US ,N/A,"Takada Shinichi, Takehara Toru","","",Solar Inverter,""
US20100154887A1,0100154887,20100624,20081219, PHOTOVOLTAIC SYSTEM,"","H01L31/04, H01L31/18", Los Gatos CA US  Great Falls VA US ,N/A,"BULLEN M. JAMES, Huber Dennis J.","","",Solar Mounting/Rack,""
US20110278411A1,0110278411,20111117,20110516,MOUNTING FOOT FOR SOLAR MODULES AND MOUNTING SYSTEM HAVING A PLURALITY OF SUCH MOUNTING FEET,"","E04D13/18, B23P11/00", Koblach AT  Duens AT ,N/A,"Carbonare Martin, Bragagna Elio","","",Solar Mounting/Rack,""
US20110199707A1,0110199707,20110818,20110215,PHOTOVOLTAIC ARRAY GROUND FAULT DETECTION METHOD FOR UTILITY-SCALE GROUNDED SOLAR ELECTRIC POWER GENERATING SYSTEMS,"",H02H3/16, SAN FRANCISCO CA US  DOVER MA US  LOS GATOS CA US ,N/A,"KAZEMI HOSSEIN, SELCHAU-HANSEN VIGGO, HINMAN BRIAN","","",Solar Inverter,""
US20110013432A1,0110013432,20110120,20090720,"Systems, Methods, and Apparatus for Operating a Power Converter","","H02M7/44, H02J1/00", Roanoke VA US ,N/A,Wagoner Robert Gregory,"","",Solar Inverter,""
US20120312354A1,0120312354,20121213,20120607,SOLAR MODULE AND PHOTOVOLTAIC ARRAY,"","H01L31/05, H01L31/048", Jena DE ,N/A,BUETTNER Thomas,"","",Solar Mounting/Rack,""
US20120055461A1,0120055461,20120308,20110831,SYSTEM FOR ADJUSTING SOLAR CELL MODULES ACCORDING TO THE SUN'S POSITION,"",F24J2/38, Obernburg DE ,N/A,KROTH Eberhard,"","",Solar Monitoring,""
US20130062957A1,0130062957,20130314,20121106,METHOD AND AREA ELECTRIC POWER SYSTEM DETECTING ISLANDING BY EMPLOYING CONTROLLED REACTIVE POWER INJECTION BY A NUMBER OF INVERTERS,"",H02J1/00, Cleveland OH US ,N/A,EATON CORPORATION ,"","",Solar Inverter,""
US20090261777A1,0090261777,20091022,20090416,SOLAR PANEL CHARGING DISPLAY DEVICE AND METHOD,"",H01M10/46, Banqiao City TW  Taipei City TW ,N/A,"Chen Mingchuan, Kuo Chunhorn","","",Solar Monitoring,""
US20090281820A1,0090281820,20091112,20080512,METHOD AND SYSTEM TO QUANTIFY PERFORMANCE OF A POWER GENERATING SYSTEM,"",G06Q30/00, Bangalore IN  Bangalore IN  Bangalore IN ,N/A,"Sarkar Abhinanda, Gujjar Vineel Chandrakanth, Anbarasu Arungalai","","",Solar Monitoring,""
US20110120528A1,0110120528,20110526,20101122,ENERGY TRANSFER MODULE UTILIZING THERMAL POWER GENERATED BY SOLAR PANELS,"","H01L31/058, F24J2/04", Oakland CA US  Hercules CA US ,N/A,"WEST Brian D, Albritton Charles Wade","","",Solar Inverter,""
US20110130982A1,0110130982,20110602,20101124,Monitoring System for Power Grid Distributed Power Generation Devices,"","G06F19/00, G01R21/00", Hauptstrasse DE  Schomsheimer DE  Raunheimerstr DE  Buchenweg DE  Auf dem Teich DE ,N/A,"Haag Michael, Haustein Nils, Krause Rainer Klaus, Muehge Thorsten, Weyerthaeuser Joerg","","",Solar Monitoring,""
US20120298817A1,0120298817,20121129,20120222,"Pivot-Fit Frame, System and Method for Photovoltaic Arrays","",H01L31/02, San Rafael CA US  San Rafael CA US ,N/A,"West John Raymond, Hudson Tyrus Hawkes","","",Solar Mounting/Rack,""
US20120085390A1,0120085390,20120412,20111012,INTEGRATED SHIPPING AND INSTALLATION RACKING,"","H01L31/048, E04G21/14, A47F7/00, B65G57/00, H01L31/0203, H01L31/042", Suffolk VA US  La Crescenta CA US  Los Angeles CA US ,N/A,"Johnson, JR. Richard L., Russell Richard J., Turk Michael F.","","",Solar Mounting/Rack,""
US20130069438A1,0130069438,20130321,20110921,SYSTEM AND METHOD FOR MAXIMIZING POWER OUTPUT OF PHOTOVOLTAIC STRINGS,"",H02J1/00, Milwaukee WI US  Raleigh NC US  Kingston RI US ,N/A,"Liu Yu, Oughton George W., Thompson Christopher Scott","","",Solar Inverter,""
US20060222453A1,0060222453,20061005,20060323,Mounting clamp,"",F16D1/12, Kibbutz Magen IL ,N/A,Plaschkes Micha,"","",Solar Mounting/Rack,""
US20120161527A1,0120161527,20120628,20120130,PHOTOVOLTAIC DC/DC MICRO-CONVERTER,"",H02J1/00, Lexington MA US  Boston MA US ,N/A,"Casey Leo Francis, Mossoba Joseph T.","","",Solar Inverter,""
US20080190480A1,0080190480,20080814,20080206,Leadframe based photo voltaic electronic assembly,"","H01L31/0203, H01L31/0232, H01L31/024, H01L31/18", Cupertino CA US ,N/A,Joshi Rajeev,"","",Solar Mounting/Rack,""
US20130118113A1,0130118113,20130516,20121114,SOLAR SYSTEM MOUNTING ASSEMBLY,"","F24J2/52, E02D27/42, E04H12/34", Fairhaven MA US ,N/A,Kelleher Stephen,"","",Solar Mounting/Rack,""
US20120031469A1,0120031469,20120209,20091110,SUPPORT FOR MOUNTING A SOLAR PANEL,"","H01L31/048, F16B2/06, E04D13/18, H01L23/13", Boxtel NL  Berlin DE  Bernau bei Berlin DE ,N/A,"Loois Geerling, Zschoch Stefan, Kübsch Michael","","",Solar Mounting/Rack,""
US20120087159A1,0120087159,20120412,20101011,QUADRATURE-CORRECTED FEEDFORWARD CONTROL APPARATUS AND METHOD FOR DC-AC POWER CONVERSION,"",H02M1/14, Urbana IL US  Kennewick WA US  Houston TX US  Champaign IL US ,N/A,"Chapman Patrick L., Esram Trishan, Martina Eric, Kuhn Brian","","",Solar Inverter,""
US20110067693A1,0110067693,20110324,20100922,INTEGRATED MOUNT FOR SOLAR PANELS,"","F24J2/46, B23P11/00", Andover MA US ,N/A,PAULL James B.,"","",Solar Mounting/Rack,""
US20110265401A1,0110265401,20111103,20110419,MOUNTING SYSTEM FOR SOLAR MODULES,"",F24J2/52, Bielefeld DE  Bielefeld DE  Enger DE  Gutersloh DE  Herford DE  Bielefeld DE ,N/A,"Ritzler Ralf, Salzer Wadim, Rosenwirth Andreas, Imkamp Gerd, Stockhausen Andre, Hanke Carsten","","",Solar Mounting/Rack,""
US20100226160A1,0100226160,20100909,20100308,Power Generation System and Inverter for Feeding Power Into a Three-Phase Grid,"","H02M7/5387, H01H47/00, H01H47/22", Marsberg DE  Kassel DE  Kassel DE ,N/A,"Prior Oliver, Schroeder Thomas, Wolf Henrik","","",Solar Inverter,""
US20120180780A1,0120180780,20120719,20110511,SOLAR PANEL SUN-TRACING EQUIPMENT,"",F24J2/38, New Taipei City TW  New Taipei City TW  New Taipei City TW ,N/A,"TSENG Hsien-Te, LIU Chun-Chih, HUNG Chih-Li","","",Solar Mounting/Rack,""
US20110019453A1,0110019453,20110127,20071130,ELECTRIC CIRCUIT FOR CONVERTING DIRECT CURRENT INTO ALTERNATING CURRENT,"",H02M7/537, Sarriguren (Navarra) ES  Sarriguren (Navarra) ES  Sarriguren (Navarra) ES ,N/A,"Gonzalez Senosiain Roberto, Coloma Calahorra Javier, Marroyo Palomo Luis","","",Solar Inverter,""
US20100283325A1,0100283325,20101111,20070606,Delivery of Electric Power by Means of a Plurality of Parallel Inverters and Control Method Based on Maximum Power Point Tracking,"",H02M7/42, Arezzo IT  Arezzo IT  Arezzo IT ,N/A,"Marcianesi Andrea, Martini David, Soldani Simone","","",Solar Inverter,""
US20110126881A1,0110126881,20110602,20090515,MOUNTING DEVICE,"",H01L31/042, Xiamen CN  Xiamen CN ,N/A,"Hong Xuwen, Wang Xiaoming","","",Solar Mounting/Rack,""
