pat_id, title, USPA#, date
pat1_1440, Method of planar mounting of silicon solar cells, 3964155, June 22  1976, 
pat1_1441, Lightweight reflective panels for solar-thermal power plants and methods of forming such panels, 3959056, May 25  1976, 
pat1_1442, Solar heat collector, 3954097, May 4  1976, 
pat1_1443, Solar water heater, 3952725, April 27  1976, 
pat1_1444, Solar heat-collector device, 3948247, April 6  1976, 
pat1_1445, Solar collector system, 3937208, February 10  1976, 
pat1_144, System for assisting solar power generation, 8136783, March 20  2012, 
pat1_145, Solar panel and equipment mounting apparatus for roofs, 8136311, March 20  2012, 
pat1_146, Photovoltaic solar panel mounting system, 8136310, March 20  2012, 
pat1_147, Revolving solar powered flower pot saucer, 8132359, March 13  2012, 
pat1_148, Transportable decontamination unit and decontamination process, 8128888, March 6  2012, 
pat1_149, Security mailbox system, 8123113, February 28  2012, 
pat1_150, Roof mounted solar collector devices with connection piping movable from protected to installation position, 8122879, February 28  2012, 
pat1_151, Portable advertising platform, 8122628, February 28  2012, 
pat1_152, High efficiency counterbalanced dual axis solar tracking array frame system, 8119963, February 21  2012, 
pat1_153, Control signal generation of a solar panel orientation system with interference reduction using an infrared filter, 8119962, February 21  2012, 
pat1_154, Photovoltaic soundproof wall, 8118135, February 21  2012, 
pat1_155, Solar module connector and method of use, 8113890, February 14  2012, 
pat1_156, T-post and other mounting systems and accessories, 8113473, February 14  2012, 
pat1_157, One-way see-through illumination system, 8100575, January 24  2012, 
pat1_158, Solar power augmented heat shield systems, 8100341, January 24  2012, 
pat1_159, Upright rotatable product carrousel dispensing device, 8100291, January 24  2012, 
pat1_15, In-ground solar trough, 8490620, July 23  2013, 
pat1_160, Solar roof tracker, 8100122, January 24  2012, 
pat1_161, Assemblies for constructing solar panel mounting systems, 8099922, January 24  2012, 
pat1_162, Panel box, 8097818, January 17  2012, 
pat1_163, Solar light collector assembly having a clamp arrangement for attaching a mirror to a frame truss, 8091544, January 10  2012, 
pat1_164, Illuminated directional wind speed indicator, 8091420, January 10  2012, 
pat1_165, Light concentrating modules  systems and methods, 8088994, January 3  2012, 
pat1_166, LED light having projector with focus adjustment, 8083377, December 27  2011, 
pat1_167, Airborne emitter/receiver arrays  and associated systems and methods, 8081141, December 20  2011, 
pat1_168, Container track for container transport, 8074787, December 13  2011, 
pat1_169, Method for manufacturing a solar cell module available for the sunroof of a vehicle, 8070902, December 6  2011, 
pat1_16, Semiconductor device and method for manufacturing the same, 8481370, July 9  2013, 
pat1_170, Solar LED lamp, 8070311, December 6  2011, 
pat1_171, Sensor housing with solar module for field device, 8069720, December 6  2011, 
pat1_172, System for mounting, 8065838, November 29  2011, 
pat1_173, Concentrator solar photovoltaic array with compact tailored imaging power units, 8063300, November 22  2011, 
pat1_174, Berthing system and structure for use therein, 8056491, November 15  2011, 
pat1_175, Auto-irrigating case, 8056284, November 15  2011, 
pat1_176, Solar energy collection devices, 8053662, November 8  2011, 
pat1_177, Vehicular temperature control device, 8051904, November 8  2011, 
pat1_178, Solar powered kayak outrigger, 8047153, November 1  2011, 
pat1_179, Tactical solar power system, 8046961, November 1  2011, 
pat1_17, Fixture for attaching a profile rail to another component, 8480330, July 9  2013, 
pat1_180, Deck mounting for solar chlorine generator, D647388, October 25  2011, 
pat1_181, Solar servo control tracking device, 8042534, October 25  2011, 
pat1_182, System and method for controlling hydronic systems having multiple sources and multiple loads, 8041462, October 18  2011, 
pat1_183, Mount for an electronic device, 8041029, October 18  2011, 
pat1_184, Method of assembling integrated circuit components, 8039360, October 18  2011, 
pat1_185, Demounting of inverted metamorphic multijunction solar cells, 8039291, October 18  2011, 
pat1_186, Connection and junction box for a solar module, 8033859, October 11  2011, 
pat1_187, Self-contained apparatuses for hanging  holding  rotating  or watering plants using solar power for plant maintenance, 8033050, October 11  2011, 
pat1_188, Solar-powered light pole and LED light fixture, 8029154, October 4  2011, 
pat1_189, Passive solar wire screens for buildings, 8028691, October 4  2011, 
pat1_18, Solar cell module and solar cell array, 8479458, July 9  2013, 
pat1_190, Extruded rail set used for mounting solar panels, D645981, September 27  2011, 
pat1_191, Wave energy converter, 8026620, September 27  2011, 
pat1_192, Portable power and utility system, 8013567, September 6  2011, 
pat1_193, Metering pump power source, 8008806, August 30  2011, 
pat1_194, Reflector assembly for energy concentrators, 8006689, August 30  2011, 
pat1_195, Electrical connector assembly, 8002593, August 23  2011, 
pat1_196, Road marker, 7993073, August 9  2011, 
pat1_197, Spike for outdoor lighting fixture, 7993040, August 9  2011, 
pat1_198, Portable self regenerating power system, 7989980, August 2  2011, 
pat1_199, Fluid coupled heat to motion converter (a form of heat engine) FCHTMC, 7980080, July 19  2011, 
pat1_19, Ice buildup inhibitor, 8476558, July 2  2013, 
pat1_1, Solar tracking, 8522773, September 3  2013, 
pat1_200, Lead frame thermoplastic solar cell receiver, 7977777, July 12  2011, 
pat1_201, Solar powered rechargeable street light with tamper resistant networkable system, 7976180, July 12  2011, 
pat1_202, Integrated mounting system for communication and surveillance infrastructures, 7974079, July 5  2011, 
pat1_203, Photovoltaic solar panel mounting system, 7971398, July 5  2011, 
pat1_204, Solar energy collection system, 7968791, June 28  2011, 
pat1_205, Owl with intermittent powered movement, 7966963, June 28  2011, 
pat1_206, Solar battery module  installation structure for solar battery module  roof with power generating function of the installation structure  and method of installing solar battery module, 7964786, June 21  2011, 
pat1_207, String interconnection and fabrication of inverted metamorphic multijunction solar cells, 7960201, June 14  2011, 
pat1_208, Solar cell module retaining structure  frame for solar cell module  and holding member for solar cell module, 7956280, June 7  2011, 
pat1_209, Systems and methods for solar distillation, 7955477, June 7  2011, 
pat1_20, Method for fabricating solar cell comprising condenser lens and photoelectric conversion element, 8476098, July 2  2013, 
pat1_210, Decorative reflective spinning device, 7954264, June 7  2011, 
pat1_211, Integral powered wing aircraft, 7950603, May 31  2011, 
pat1_212, Carrier for a solar energy reflector element, 7950386, May 31  2011, 
pat1_213, Extruded rail set used for mounting solar panels on slightly slanted roofs, D638554, May 24  2011, 
pat1_214, Vehicle activity module, 7949541, May 24  2011, 
pat1_215, Flashing stern light for boats, 7946741, May 24  2011, 
pat1_216, Portable surface plasmon resonance biosensor, 7943092, May 17  2011, 
pat1_217, Connection and junction box for a solar module, 7931488, April 26  2011, 
pat1_218, Solar powered lighting for railing systems, 7931385, April 26  2011, 
pat1_219, Terminal box for a solar cell panel, 7928315, April 19  2011, 
pat1_21, Self-cleaning submerged instrumentation, 8473262, June 25  2013, 
pat1_220, Hot compressed gas vehicle, 7926610, April 19  2011, 
pat1_221, System and method for anchoring solar panels to a flat surface, 7921843, April 12  2011, 
pat1_222, Solar powered internally illuminated billboard, 7912590, March 22  2011, 
pat1_223, Solar sensor including first and additional modulators, 7906751, March 15  2011, 
pat1_224, Light bar and method for making, 7905640, March 15  2011, 
pat1_225, Traffic safety cone incorporating a flashing light module, 7905622, March 15  2011, 
pat1_226, Piggyback equipment panel payload arrangement  a device for and method of attaching a hosted secondary piggyback payload and adapter to be used for a piggyback secondary payload arrangement for launching the piggyback equipment panel secondary, 7905453, March 15  2011, 
pat1_227, Buss bar strip, 7902460, March 8  2011, 
pat1_228, Extra electric energy for day-night cycle solar aircraft, 7898789, March 1  2011, 
pat1_229, Integrated thermal and photovoltaic solar collector and method for operation and mounting an array of solar collectors, 7896000, March 1  2011, 
pat1_22, Two-stage solar concentrating system, 8471187, June 25  2013, 
pat1_230, Modular shade system with solar tracking panels, 7888587, February 15  2011, 
pat1_231, Solar-powered sun tracker, 7884308, February 8  2011, 
pat1_232, Connecting box of a solar panel with a cooling structure, 7880098, February 1  2011, 
pat1_233, Latching solar concentrator pivoted mirrors during off-power period, 7878667, February 1  2011, 
pat1_234, Solar powered irrigation machine, 7878429, February 1  2011, 
pat1_235, Warning light, 7872592, January 18  2011, 
pat1_236, Planar solar concentrator power module, 7872192, January 18  2011, 
pat1_237, Parabolic trough or dish reflector for use in concentrating solar power apparatus and method of making same, 7871664, January 18  2011, 
pat1_238, Solar powered fan, 7866958, January 11  2011, 
pat1_239, Fresnel solar concentrator array with centered universal pivots, 7866836, January 11  2011, 
pat1_23, Solar array support structure, 8468755, June 25  2013, 
pat1_240, Mounting structure of solar cell module, 7866099, January 11  2011, 
pat1_241, Vertical shaft type windmill with arcuate hook shaped vane blades, 7863765, January 4  2011, 
pat1_242, Electrical connector for a solar module assembly, 7862383, January 4  2011, 
pat1_243, Skyline imaging system for solar access determination, 7861422, January 4  2011, 
pat1_244, Continuous circuit overlay solar shingles, 7858874, December 28  2010, 
pat1_245, Mounting assembly for arrays and other surface-mounted equipment, 7857269, December 28  2010, 
pat1_246, Rack assembly for mounting solar modules, 7856769, December 28  2010, 
pat1_247, Passively cooled solar concentrating photovoltaic device, 7851693, December 14  2010, 
pat1_248, High efficiency solar powered fans, 7850513, December 14  2010, 
pat1_249, Low profile solar laminate connector assembly, 7850476, December 14  2010, 
pat1_24, System and method for utility pole distributed solar power generation, 8466581, June 18  2013, 
pat1_250, Frame assembly for mounting solar modules, 7849849, December 14  2010, 
pat1_251, Foam distribution parts with integral membrane fastening structures, 7849636, December 14  2010, 
pat1_252, Integrated solar agent business model, 7844499, November 30  2010, 
pat1_253, Solar LED lamp assembly, 7832892, November 16  2010, 
pat1_254, Mounting system for a solar panel, 7832157, November 16  2010, 
pat1_255, Solar collector mounting array, 7823583, November 2  2010, 
pat1_256, Plug and play solar panel assembly, 7819114, October 26  2010, 
pat1_257, Solar panel mounting systems, 7814899, October 19  2010, 
pat1_258, Connecting box of a solar panel with a cooling structure, 7811098, October 12  2010, 
pat1_259, LED cooler apparatus and method of use, 7806563, October 5  2010, 
pat1_25, Next generation photovoltaic solar panel piggyback mounting system, 8464478, June 18  2013, 
pat1_260, Modular solar panel mounting system, 7806377, October 5  2010, 
pat1_261, Solar tracker, 7799987, September 21  2010, 
pat1_262, Solar cell module and method for installing same, 7795527, September 14  2010, 
pat1_263, Solar panel positioning apparatus and method, 7793654, September 14  2010, 
pat1_264, Growth substrates for inverted metamorphic multijunction solar cells, 7785989, August 31  2010, 
pat1_265, Solar LED lamp assembly, 7784981, August 31  2010, 
pat1_266, Wind engine and wind power system, 7777363, August 17  2010, 
pat1_267, Battery charger with internal battery, 7764043, July 27  2010, 
pat1_268, Solar powered aerial vehicle, 7762495, July 27  2010, 
pat1_269, Adjustable mounting assembly for standing seam panels, 7758011, July 20  2010, 
pat1_26, Heated glass panel frame with electronic controller and triac, 8461495, June 11  2013, 
pat1_270, Electronic carpenter bee trap, 7757432, July 20  2010, 
pat1_272, Integrated photoelectrochemical cell and system having a liquid electrolyte, 7750234, July 6  2010, 
pat1_273, Method of producing solar cell module, 7749351, July 6  2010, 
pat1_274, Solar light apparatus and system, 7748863, July 6  2010, 
pat1_275, Illumuniated hummingbird feeder, 7748347, July 6  2010, 
pat1_276, Method of manufacturing and installing a low profile mounting system, 7748175, July 6  2010, 
pat1_277, System for mounting a solar module on a roof or the like and method of installing, 7745722, June 29  2010, 
pat1_278, Demounting of inverted metamorphic multijunction solar cells, 7741146, June 22  2010, 
pat1_279, Lawn chair with incorporated solar light protective device, 7740310, June 22  2010, 
pat1_27, Solar light apparatus and system, 8459826, June 11  2013, 
pat1_280, Strut runner member and assembly using same for mounting arrays on rooftops and other structures, 7721492, May 25  2010, 
pat1_281, Phased array antenna, 7714797, May 11  2010, 
pat1_282, High pressure tide actuated fluid pump, 7713032, May 11  2010, 
pat1_283, Electrical connector having an encapsulant to seal the connector, 7708593, May 4  2010, 
pat1_284, System for continuous asset verification, 7707076, April 27  2010, 
pat1_285, Solar panel mounting structure, 7703246, April 27  2010, 
pat1_286, Buss bar strip, 7700878, April 20  2010, 
pat1_287, Method and apparatus for repelling geese, 7699018, April 20  2010, 
pat1_288, Solar cell unit attaching apparatus, 7694466, April 13  2010, 
pat1_289, Shape memory alloy motor as incorporated into solar tracking mechanism, 7692091, April 6  2010, 
pat1_28, Single axis solar tracking system, 8459249, June 11  2013, 
pat1_290, Trailer hitch alignment aid, 7690670, April 6  2010, 
pat1_291, Molded plastic canopy, 7685780, March 30  2010, 
pat1_292, Wireless network providing distributed video / data services, 7684752, March 23  2010, 
pat1_293, Sensor sweeper for detecting surface and subsurface objects, 7683821, March 23  2010, 
pat1_294, Enclosed mobile/transportable motorized antenna system, 7679573, March 16  2010, 
pat1_295, Rigid integrated photovoltaic roofing membrane and related methods of manufacturing same, 7678991, March 16  2010, 
pat1_296, Micromirror array, 7677742, March 16  2010, 
pat1_297, Solar heating system and architectural structure with a solar heating system, 7677243, March 16  2010, 
pat1_298, Solar umbrella clip light, 7674002, March 9  2010, 
pat1_299, Water circulation systems for ponds  lakes  and other bodies of water with adjustable solar panels, 7670044, March 2  2010, 
pat1_29, Awning brackets and frame, 8458964, June 11  2013, 
pat1_2, Solar panel mounting structure, 8522492, September 3  2013, 
pat1_300, Renewable energy system for electric vehicles, 7665553, February 23  2010, 
pat1_301, Enclosed solar collector, 7665459, February 23  2010, 
pat1_302, Wall cladding panel for the outside wall of a building with a solar generator, 7665254, February 23  2010, 
pat1_303, High efficiency solar powered fan, 7662035, February 16  2010, 
pat1_304, Electrical connector assembly, 7662001, February 16  2010, 
pat1_305, Solar powered decorative light system, 7661838, February 16  2010, 
pat1_306, Interior rearview mirror system for a vehicle, 7658521, February 9  2010, 
pat1_307, Method of packaging solar modules, 7658055, February 9  2010, 
pat1_308, Solar-rechargeable light, 7654684, February 2  2010, 
pat1_309, Supply side backfeed meter socket adapter, 7648389, January 19  2010, 
pat1_30, Concentrated photovoltaic and thermal solar energy collector, 8455755, June 4  2013, 
pat1_310, Revolutionary solar collecting system, 7640931, January 5  2010, 
pat1_311, Laminated solar concentrating photovoltaic device, 7638708, December 29  2009, 
pat1_312, Mounting system with threaded sliding block, 7634875, December 22  2009, 
pat1_313, Image making medium, 7629400, December 8  2009, 
pat1_314, Solar light for home security signs, 7626509, December 1  2009, 
pat1_315, Method for enabling monitoring of power consumption, 7622912, November 24  2009, 
pat1_316, Photovoltaic concentrator modules and systems having a heat dissipating element located within a volume in which light rays converge from an optical concentrating element towards a photovoltaic receiver, 7622666, November 24  2009, 
pat1_317, Portable storage apparatus and docking station employing a solar energy charging system for electronic devices, 7619884, November 17  2009, 
pat1_318, Hybrid wind turbine system  apparatus and method, 7615884, November 10  2009, 
pat1_319, Game table with lights, 7611417, November 3  2009, 
pat1_31, Solar panel mount, 8453986, June 4  2013, 
pat1_320, Wheel illumination device, 7611267, November 3  2009, 
pat1_321, Outdoor design panel, 7611258, November 3  2009, 
pat1_322, Multimedia player for grave marker, 7609506, October 27  2009, 
pat1_323, Low profile mounting system, 7600349, October 13  2009, 
pat1_324, Information display system for a vehicle, 7579940, August 25  2009, 
pat1_325, Reflector based optical design, 7572030, August 11  2009, 
pat1_326, Method and apparatus for removal of gutter debris, 7568640, August 4  2009, 
pat1_327, Outdoor umbrella with solar power supply, 7562667, July 21  2009, 
pat1_328, Integral powered wing aircraft, 7559506, July 14  2009, 
pat1_329, Modular shade system with solar tracking panels, 7557292, July 7  2009, 
pat1_32, Methods and devices for assembling a terrestrial solar tracking photovoltaic array, 8453328, June 4  2013, 
pat1_330, Apparatus for enclosing electronic components used in telecommunication systems, 7535716, May 19  2009, 
pat1_331, Tracking solar shelter, 7531741, May 12  2009, 
pat1_332, Method and system for fabricating semiconductor components with through interconnects and back side redistribution conductors, 7531443, May 12  2009, 
pat1_333, Positioning system for portable solar panels, 7513250, April 7  2009, 
pat1_334, High efficiency solar powered fan, 7507151, March 24  2009, 
pat1_335, Light providing apparatus attachable to umbrella and stand assembly, 7497583, March 3  2009, 
pat1_336, Antenna assembly for satellite and wireless services, 7493078, February 17  2009, 
pat1_337, Portable computer with detachable solar cell module, 7492582, February 17  2009, 
pat1_338, Method and apparatus for mounting an array of solar collectors, 7484507, February 3  2009, 
pat1_339, Quick secure connection system for outdoor lighting systems, 7481670, January 27  2009, 
pat1_33, Seesaw, 8444498, May 21  2013, 
pat1_340, Solar panel mounting structure, 7481211, January 27  2009, 
pat1_341, Device for rescue and safety for swimming pools and leisure parks, 7479891, January 20  2009, 
pat1_342, Lamp strip assembly, 7478919, January 20  2009, 
pat1_343, Seasonally adjustable mounting system for solar panels having dual motor assembly, 7476832, January 13  2009, 
pat1_344, Light bar and method for making, 7476013, January 13  2009, 
pat1_345, Vehicle weather forecaster and navigation device with integrated power generator, 7475594, January 13  2009, 
pat1_346, Microscopic batteries for MEMS systems, 7468221, December 23  2008, 
pat1_347, Interior rearview mirror system for a vehicle, 7467883, December 23  2008, 
pat1_348, Solar powered fan for portable enclosure, 7455582, November 25  2008, 
pat1_349, Illuminated hummingbird feeder, 7448347, November 11  2008, 
pat1_34, Use of brackets and rails in concentrating solar energy collectors, 8443795, May 21  2013, 
pat1_350, Accessory system suitable for use in a vehicle, 7446650, November 4  2008, 
pat1_351, Solar power station, 7444816, November 4  2008, 
pat1_352, Fishing pole strike alert, 7434348, October 14  2008, 
pat1_353, Method and apparatus for controlling temporary traffic signals, 7423551, September 9  2008, 
pat1_354, Full spectrum monitoring for outdoor accelerated weathering device, 7417728, August 26  2008, 
pat1_355, Dual voltage integrated power and attitude control system and method, 7407137, August 5  2008, 
pat1_356, Mounting system for a solar panel, 7406800, August 5  2008, 
pat1_357, Marine pier system, 7390140, June 24  2008, 
pat1_358, Planar solar concentrator power module, 7388146, June 17  2008, 
pat1_359, Articulated mast, 7385147, June 10  2008, 
pat1_35, Blue glass composition, 8440583, May 14  2013, 
pat1_360, Convertible dock ramp, 7383600, June 10  2008, 
pat1_361, Backpack style power-pack with flexible drive and quick connect power take-off for connection to a variety of powered tools, 7382104, June 3  2008, 
pat1_362, Terrestrial solar array, 7381886, June 3  2008, 
pat1_363, Directional support structure, 7374137, May 20  2008, 
pat1_364, Monitoring system and device for an electric power line network, 7369045, May 6  2008, 
pat1_365, Method and apparatus attenuating direct sun light while providing a view of the sky through a light tunnel in a skylight system, 7352509, April 1  2008, 
pat1_366, Lawnmower rotary cutting apparatus and grass guide, 7350344, April 1  2008, 
pat1_367, Electronic article tracking system for retail rack using loop antenna, 7345587, March 18  2008, 
pat1_368, Sunshade with an illuminating device, 7331684, February 19  2008, 
pat1_369, Vertically polarized traveling wave antenna apparatus and method, 7327325, February 5  2008, 
pat1_36, Marker for floating on the surface of a body of water, 8439716, May 14  2013, 
pat1_370, Heating and cooling system, 7325542, February 5  2008, 
pat1_371, Decorative light and landscape lighting system, 7322714, January 29  2008, 
pat1_372, Nautical light emitting diode ("LED") safety channel marker, 7320631, January 22  2008, 
pat1_373, Interior rearview mirror system for a vehicle, 7311428, December 25  2007, 
pat1_374, Temperature controlled container, 7310967, December 25  2007, 
pat1_375, Exterior address porch light, 7310901, December 25  2007, 
pat1_376, Security system and perimeter beam tower, 7301457, November 27  2007, 
pat1_377, Guardrail reflector/delineator and mounting device therefor, 7300165, November 27  2007, 
pat1_378, Solar battery module  installation structure for solar battery module  roof with power generating function of the installation structure  and method of installing solar battery module, 7297867, November 20  2007, 
pat1_379, Day lighting device, 7295372, November 13  2007, 
pat1_37, Method and apparatus for simulating solar light, 8439530, May 14  2013, 
pat1_380, Body capacitance electric field powered device for high voltage lines, 7282944, October 16  2007, 
pat1_381, Mechanical-thermal solar power system, 7281381, October 16  2007, 
pat1_382, Animal deterrent apparatus for mounting to a culvert, 7278375, October 9  2007, 
pat1_383, Window having a ventilation equipment, 7270600, September 18  2007, 
pat1_384, Solar powered mobile, 7259536, August 21  2007, 
pat1_385, Interior rearview mirror system for a vehicle, 7255465, August 14  2007, 
pat1_386, Personal renewable-energy fueling and storage station for electric-powered vehicles, 7248018, July 24  2007, 
pat1_387, Method of cultivation and components for use therewith, 7243459, July 17  2007, 
pat1_388, Insulating unitless window sash, 7241352, July 10  2007, 
pat1_389, HMI device with optical touch screen, 7230611, June 12  2007, 
pat1_38, Mounting for a DC-AC converter and method for fitting a DC-AC converter, 8435064, May 7  2013, 
pat1_390, Light powered pressure gauge, 7228743, June 12  2007, 
pat1_391, Winch assembly for a lift structure supportive of a recreational boat and related watercraft, 7226041, June 5  2007, 
pat1_392, Interactive automotive rearvision system, 7224324, May 29  2007, 
pat1_393, Device for properly illuminating at least one flag  including the United States flag, 7217015, May 15  2007, 
pat1_394, Triangle road sign with solar power-driven flashing light means, RE39594, May 1  2007, 
pat1_395, Child car seat reading light, 7201444, April 10  2007, 
pat1_396, Navigational system and method utilizing sources of pulsed celestial radiation, 7197381, March 27  2007, 
pat1_397, Liquid stream analysis and feedback system with acoustic filtering method, 7194776, March 27  2007, 
pat1_398, Thermal design for spacecraft modules, 7191984, March 20  2007, 
pat1_399, Bicycle with optional power assist, 7185726, March 6  2007, 
pat1_39, Impact absorption facility for road, 8434965, May 7  2013, 
pat1_3, Support device for mounting a solar panel and mounting system incorporating same, 8522491, September 3  2013, 
pat1_400, Mailbox with prism lighting system and mail grabber, 7178715, February 20  2007, 
pat1_401, Automated shutter control, 7178291, February 20  2007, 
pat1_402, Micro-organism inactivation system, 7175808, February 13  2007, 
pat1_403, Fiber optic panel illuminated mailbox, 7175326, February 13  2007, 
pat1_404, Solar powered garden light, 7172307, February 6  2007, 
pat1_405, Substrate carrier for electroplating solar cells, 7172184, February 6  2007, 
pat1_406, Convertible dock ramp, 7159261, January 9  2007, 
pat1_407, Solar collector mounting array, 7156088, January 2  2007, 
pat1_408, Portable light modification device, 7147350, December 12  2006, 
pat1_409, Roof cover type solar cell module, 7138578, November 21  2006, 
pat1_40, Apparatus to provide variable illuminated signals for the presence of bicycles and other vehicles, 8434921, May 7  2013, 
pat1_410, Vehicle auxiliary rear view mirror assembly and method, 7137716, November 21  2006, 
pat1_411, Telescopic crane, 7137518, November 21  2006, 
pat1_412, Mobile traffic light, 7135990, November 14  2006, 
pat1_413, Lighting apparatus, 7134773, November 14  2006, 
pat1_414, Light providing apparatus attachable to umbrella and stand assembly, 7134762, November 14  2006, 
pat1_415, Water cooler/water purification system, 7125485, October 24  2006, 
pat1_416, Portable ozone treatment for swimming pools, 7118678, October 10  2006, 
pat1_417, Device and method for a spacecraft, 7114683, October 3  2006, 
pat1_418, Holding device for a solar-powered thermometer, 7111728, September 26  2006, 
pat1_419, Interior rearview mirror system for a vehicle, 7108409, September 19  2006, 
pat1_41, Junction box and electrical connection mechanism thereof, 8432699, April 30  2013, 
pat1_420, Energy saving window shade system, 7093643, August 22  2006, 
pat1_421, Window having a ventilation equipment, 7083110, August 1  2006, 
pat1_422, Motion detector and illumination apparatus and method, 7079027, July 18  2006, 
pat1_423, Mosquitoes eradicating system, 7073287, July 11  2006, 
pat1_424, Medication reminder apparatus, 7042807, May 9  2006, 
pat1_425, Wind power generator  windmill  and spindle and blade of the windmill, 7040858, May 9  2006, 
pat1_426, Configurable fence and gate systems, 7040605, May 9  2006, 
pat1_427, Dual direction water surface skimmer and pool side docking device, 7037038, May 2  2006, 
pat1_428, Electronic unit integrated into a flexible polymer body, 7030411, April 18  2006, 
pat1_429, Trail safe alert system, 7019669, March 28  2006, 
pat1_42, Portable electronic device carrier with charging system, 8432124, April 30  2013, 
pat1_430, Enhanced guardrail, 7018129, March 28  2006, 
pat1_431, Outdoor umbrella with solar power supply, 7013903, March 21  2006, 
pat1_432, Framing system for solar panels, 7012188, March 14  2006, 
pat1_433, Monitoring system, 7005863, February 28  2006, 
pat1_434, Portable trash compactor, 7000532, February 21  2006, 
pat1_435, Device for detection of the temperature in the interior of a vehicle, 6997605, February 14  2006, 
pat1_436, Linear actuation device for spacecraft and solar generator unfolding systems, 6997416, February 14  2006, 
pat1_437, Video monitor and housing assembly, RE38967, February 7  2006, 
pat1_438, Method and apparatus for solar power conversion, 6979911, December 27  2005, 
pat1_439, Underwater wireless imaging method and system, 6977671, December 20  2005, 
pat1_43, Adjustable mounting assembly for standing seam panels, 8430372, April 30  2013, 
pat1_440, Illuminated sign unit, 6976329, December 20  2005, 
pat1_441, Safety barrier with illuminating components, 6969185, November 29  2005, 
pat1_442, Solar panel mounting structure  solar panel system  and methods of making and installing thereof, 6968654, November 29  2005, 
pat1_443, Method for improving the environment within soil embedded culvert and bridge systems, 6962465, November 8  2005, 
pat1_444, Multi-purpose anti-glare divider using modular approach, 6962461, November 8  2005, 
pat1_445, Real-time residential energy monitor, 6956500, October 18  2005, 
pat1_446, Limited visible transmission blue glasses, 6953758, October 11  2005, 
pat1_447, Light box having a solar panel cover, 6948826, September 27  2005, 
pat1_448, Remote operated accessory rack, 6948629, September 27  2005, 
pat1_449, Enhanced visibility traffic signal, 6943698, September 13  2005, 
pat1_44, Solar collector using subreflector, 8430093, April 30  2013, 
pat1_450, Light source for white color LED lighting and white color LED lighting device, 6942361, September 13  2005, 
pat1_451, Integrated repeater, 6934511, August 23  2005, 
pat1_452, Solar central receiver with inboard headers, 6931851, August 23  2005, 
pat1_453, Solar cell module-mounting structure and solar cell module array, 6930238, August 16  2005, 
pat1_454, Jewellery setting, 6928834, August 16  2005, 
pat1_455, Digital vehicle service indicator, 6927682, August 9  2005, 
pat1_456, Safety mailbox, 6923367, August 2  2005, 
pat1_457, Solar-powered transmission device, 6923277, August 2  2005, 
pat1_458, Outdoor umbrella with solar power supply, 6923194, August 2  2005, 
pat1_459, Solar-powered mobile, 6906254, June 14  2005, 
pat1_45, Solar concentrator apparatus with large  multiple  co-axial dish reflectors, 8430090, April 30  2013, 
pat1_460, Supraconnect laser communication system, 6901220, May 31  2005, 
pat1_461, Aircraft electrostatic discharge test system, 6900642, May 31  2005, 
pat1_462, Inflatable multi-function parabolic reflector apparatus and methods of manufacture, 6897832, May 24  2005, 
pat1_463, Solar panel and antenna mounted on an explosion-proof enclosure, 6894659, May 17  2005, 
pat1_464, Direct current powered hose rewinding apparatus, 6877687, April 12  2005, 
pat1_465, Equatorial sundial with simple time and date interpretation, 6871407, March 29  2005, 
pat1_466, Animal management system, 6868804, March 22  2005, 
pat1_467, Aerial cableway system and cableway cabin, 6862998, March 8  2005, 
pat1_468, Sunshade with an illuminating device, 6840657, January 11  2005, 
pat1_469, Solar powered display, 6836985, January 4  2005, 
pat1_46, Method and apparatus for laser beam processing of an element with total transmission for light of a t least 10-5, 8420979, April 16  2013, 
pat1_470, Window biological and chemical contamination filter, 6818035, November 16  2004, 
pat1_471, Vehicle wheel illumination system, 6817743, November 16  2004, 
pat1_472, Molded polymer solar water heater, 6814070, November 9  2004, 
pat1_473, Bird repeller and assembly method, 6814021, November 9  2004, 
pat1_474, Mirror mounted emergency vehicle alert system, 6812854, November 2  2004, 
pat1_475, Timed alert device for vehicles, 6812825, November 2  2004, 
pat1_476, Method and device for controlling voltage provided to a suspended particle device, 6804040, October 12  2004, 
pat1_477, Sun tracking lighting device, 6801361, October 5  2004, 
pat1_478, Perimeter beam tower, 6801128, October 5  2004, 
pat1_479, Photovoltaic power generating structure, 6800801, October 5  2004, 
pat1_47, Systems and methods for solar water purification, 8419904, April 16  2013, 
pat1_480, Solar panel for space and method for manufacturing the same, 6799742, October 5  2004, 
pat1_481, Mounting apparatus and photovoltaic mounting system for a solar panel and method of mounting a solar panel, 6786012, September 7  2004, 
pat1_482, Drive assembly for a covering of an architectural opening, 6781335, August 24  2004, 
pat1_483, Solar powered perimeter beam, 6774790, August 10  2004, 
pat1_484, Slide projector, 6769778, August 3  2004, 
pat1_485, Motion detector camera, 6768868, July 27  2004, 
pat1_486, Photonic crystal light source, 6768256, July 27  2004, 
pat1_487, Spotlight for use in illuminating ornamental displays, 6764197, July 20  2004, 
pat1_488, Illuminated headstone mounting assembly, 6761465, July 13  2004, 
pat1_489, Automatic nail fastening device, 6755334, June 29  2004, 
pat1_48, Adjustable modular roof for vehicles, 8419118, April 16  2013, 
pat1_490, Outdoor changeable message sign, 6750829, June 15  2004, 
